ANIO,Ingresos mex,Ingresos ch,T ch,T mex,dI/dt (ch),dI/dt (mex),dT/dt (ch),dT/dt (mex)
2005,11803409.721,12106828.0,2027000,21915000.0,0.0,0.0,0.0,0.0
2006,12176565.593,13798435.0,2253000,21353000.0,1691607.0,373155.8719999995,226000.0,-562000.0
2007,12919045.697,13800142.0,2507000,21606000.0,1707.0,742480.1040000003,254000.0,253000.0
2008,13369662.483,13593992.0,2698659,22931000.0,-206150.0,450616.78599999845,191659.0,1325000.0
2009,11512671.984,16058863.0,2749913,22346000.0,2464871.0,-1856990.4989999998,51254.0,-585000.0
2010,11991718.601,14448901.0,2771053,23290000.0,-1609962.0,479046.61700000055,21140.0,944000.0
2011,11868809.062,18323634.0,3069792,23403000.0,3874733.0,-122909.53899999894,298739.0,113000.0
2012,12739391.12,17385135.0,3554279,23403000.0,-938499.0,870582.0579999983,484487.0,0.0
2013,13948981.498,20744248.0,3576204,24151000.0,3359113.0,1209590.3780000005,21925.0,748000.0
2014,16208391.619,22655040.0,3674391,29346000.0,1910792.0,2259410.121000001,98187.0,5195000.0
2015,17733733.112,24633235.0,4478336,32093000.0,1978195.0,1525341.4929999989,803945.0,2747000.0
2016,19649652.001,28680528.0,5640700,35079000.0,4047293.0,1915918.8889999986,1162364.0,2986000.0
2017,21336198.212,24043668.0,6449883,39291000.0,-4636860.0,1686546.211000003,809183.0,4212000.0
2018,22526372.515,30388161.0,5722928,41313000.0,6344493.0,1190174.3029999994,-726955.0,2022000.0
2019,24573176.557,41337486.0,4517962,45024000.0,10949325.0,2046804.0419999994,-1204966.0,3711000.0
